isin,symbol,yahoo_ticker,name,sector,industry,market_cap
FR0000035784,EGR,EGR.PA,EVERGREEN,Financial Services,Asset Management,6786306.0
FR0013308582,ALLGO,ALLGO.PA,LARGO,Technology,Electronics & Computer Distribution,6755027.0
FR0013156007,ALKLK,ALKLK.PA,KERLINK,Technology,Communication Equipment,6575471.0
FR0000064297,ALINN,ALINN.PA,INNELEC MULTIMEDIA,Technology,Electronics & Computer Distribution,6497209.0
FR0013330792,ALNN6,ALNN6.PA,ENENSYS,Technology,Communication Equipment,6414419.0
FR0013479730,ALPAU,ALPAU.PA,PAULIC MEUNERIE,Consumer Defensive,Packaged Foods,6368818.0
FR0000061244,ALORA,ALORA.PA,ALTHEORA,Industrials,Electrical Equipment & Parts,6190828.0
FR0011490648,ALESA,ALESA.PA,ECOSLOPS,Energy,Oil & Gas Refining & Marketing,6114510.0
FR0011217710,ALMET,ALMET.PA,METHANOR,Utilities,Utilities - Diversified,6079318.0
FR0013143872,ALWIT,ALWIT.PA,WITBE,Communication Services,Internet Content & Information,6020772.0
FR0013331212,ALDNE,ALDNE.PA,DONTNOD,Communication Services,Electronic Gaming & Multimedia,5978909.0
FR0010340711,ALAQU,ALAQU.PA,AQUILA,Industrials,Security & Protection Services,5598216.0
FR0004052561,PROAC,PROAC.PA,PROACTIS SA,Technology,Software - Application,5553109.0
FR001400N2P2,ALSPW,ALSPW.PA,SPINEWAY,Healthcare,Medical Instruments & Supplies,5488054.0
FR0011898584,ALUVI,ALUVI.PA,UV GERMI,Industrials,Pollution & Treatment Controls,5341360.0
FR0000074072,BIG,BIG.PA,BIGBEN INTERACTIVE,Technology,Consumer Electronics,5309535.0
FR0011648971,ALQGC,ALQGC.PA,QUANTUM GENOMICS,Healthcare,Biotechnology,5026087.0
FR0013462231,ALMUN,ALMUN.PA,MUNIC,Technology,Software - Infrastructure,4975685.0
FR0004153930,ALTAO,ALTAO.PA,ATON,Healthcare,Biotechnology,4968709.0
FR0011636083,ALNLF,ALNLF.PA,NEOLIFE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4818543.0
FR0013266772,ALEXP,ALEXP.PA,ONE EXPERIENCE,Financial Services,Capital Markets,4320437.0
FR0010326090,ALVIA,ALVIA.PA,VIALIFE,Consumer Cyclical,Specialty Retail,4315549.0
FR0013439627,ALOKW,ALOKW.PA,GROUPE OKWIND,Utilities,Utilities - Renewable,4306271.0
FR00140043Y1,ALSPT,ALSPT.PA,SPARTOO,Consumer Cyclical,Internet Retail,4201921.0
FR0011858190,ALREA,ALREA.PA,REALITES,Real Estate,Real Estate - Development,4177206.0
FR0004010338,GJAJ,GJAJ.PA,GROUPE JAJ,Consumer Cyclical,Apparel Manufacturing,4130689.0
FR0013400835,ALMAR,ALMAR.PA,MARE NOSTRUM,Industrials,Staffing & Employment Services,3702603.0
FR001400GO75,ALFLO,ALFLO.PA,FLORENTAISE,Basic Materials,Agricultural Inputs,3654171.0
FR0014010QE1,ALHPI,ALHPI.PA,HOPIUM,Consumer Cyclical,Auto Manufacturers,3624762.0
FR0014001PV6,NR21,NR21.PA,NR21,Consumer Cyclical,Apparel Retail,3607282.0
FR0013318052,ALORD,ALORD.PA,ORDISSIMO,Technology,Computer Hardware,3493690.0
FR0010424697,ALENT,ALENT.PA,ETHERO,Communication Services,Internet Content & Information,3454881.0
FR0014003V77,ALAIR,ALAIR.PA,AIRWELL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",3368579.0
FR0011038348,ALKLA,ALKLA.PA,KLARSEN,Communication Services,Advertising Agencies,3135095.0
FR0000060907,CHSR,CHSR.PA,CHAUSSERIA,Consumer Cyclical,Footwear & Accessories,3121079.0
FR0013060100,ALIMR,ALIMR.PA,IMMERSION,Technology,Software - Application,3119993.0
FR0013284627,ALARF,ALARF.PA,ADEUNIS,Technology,Communication Equipment,3060936.0
FR0000060840,ALDEV,ALDEV.PA,DEVERNOIS,Consumer Cyclical,Apparel Manufacturing,3050391.0
FR0000076861,EOS,EOS.PA,ACTEOS,Technology,Software - Application,2866461.0
FR001400SP13,ALDOL,ALDOL.PA,DOLFINES,Energy,Oil & Gas Equipment & Services,2763342.0
FR001400M1R1,ALGEC,ALGEC.PA,GECI INTL,Technology,Software - Infrastructure,2737140.0
FR0000062788,BUI,BUI.PA,BARBARA BUI,Consumer Cyclical,Apparel Manufacturing,2639520.0
FR0000064958,ITXT,ITXT.PA,INTEXA,Consumer Cyclical,Apparel Manufacturing,2530000.0
FR0010812230,ALSRS,ALSRS.PA,SIRIUS MEDIA,Communication Services,Advertising Agencies,2365496.0
FR001400RF99,ALNMG,ALNMG.PA,NETMEDIA GROUP,Communication Services,Advertising Agencies,2166149.0
FR0000065492,SLCO,SLCO.PA,SELCODIS,Basic Materials,Building Materials,1800395.0
FR0000037475,CFI,CFI.PA,CFI,Real Estate,Real Estate Services,1767484.0
FR00140066X4,ALTHO,ALTHO.PA,METAVISIO,Technology,Computer Hardware,1746610.0
FR001400F2Z1,ALLPL,ALLPL.PA,LEPERMISLIBRE,Consumer Cyclical,Personal Services,1636184.0
FR0014003J32,ALNMR,ALNMR.PA,NAMR,Technology,Software - Application,1338348.0
FR0010908723,ALINT,ALINT.PA,INTEGRAGEN,Healthcare,Biotechnology,1244693.0
FR0014013HG9,ALUCI,ALUCI.PA,LUCIBEL,Industrials,Electrical Equipment & Parts,1143815.0
FR0004155687,ALMAS,ALMAS.PA,MASTRAD,Consumer Defensive,Household & Personal Products,1062307.0
FR001400LO86,ALDBT,ALDBT.PA,DBT,Industrials,Specialty Industrial Machinery,969882.0
FR0014011QJ8,ALEUP,ALEUP.PA,EUROPLASMA,Industrials,Waste Management,744716.0
FR001400IE67,MHM,MHM.PA,MYHOTELMATCH,Consumer Cyclical,Travel Services,645696.0
FR00140062B9,ALTOO,ALTOO.PA,TOOSLA,Industrials,Rental & Leasing Services,541624.0
FR0000065930,LEBL,LEBL.PA,FONCIERE 7 INVEST,Consumer Cyclical,"Furnishings, Fixtures & Appliances",435200.0
FR0013530102,ALVG,ALVG.PA,VEOM GROUP,Technology,Consumer Electronics,254023.0
FR0014000RP6,ALIMO,ALIMO.PA,GROUPIMO,Real Estate,Real Estate Services,236005.0
FR001400ZU25,ALSAF,ALSAF.PA,SAFE,Healthcare,Medical Instruments & Supplies,143166.0
FR00140153H3,ALADO,ALADO.PA,ADOMOS,Real Estate,Real Estate Services,124780.0
FR0014011O84,ALALO,ALALO.PA,ACHETER-LOUER.FR,Communication Services,Advertising Agencies,58389.0
FR0014010856,ALNEV,ALNEV.PA,NEOVACS,Healthcare,Biotechnology,238.0
FR0014014J13,ENNV,ENNV.PA,BOUYGUES NV26,,,
FR0000063307,TBSO,TBSO.PA,TBSO,Financial Services,Capital Markets,
